internal_id,name,role_guess,source_hierarchy_path,volume_mm3,bounding_box_mm,face_count,color,tessellation_status
step-001,Main half:1,mold,/design matrita watercooled -sim v2/Mold:1/Main half:1,72291.77482955364,"(-71.75778845520476, 123.99999460942698, -3.0004668900427007, 69.99221174479551, 203.99999480942705, 22.999533210357313)",349,,tessellated 41380 vertices / 62128 triangles
step-002,Secondary half:1,mold,/design matrita watercooled -sim v2/Mold:1/Secondary half:1,72756.11965160274,"(-71.75778845520486, 18.999994609427496, -3.0000001000000114, 69.99221174479541, 98.99999480942759, 20.999533310400004)",218,,tessellated 31026 vertices / 46102 triangles
step-003,Injected part:1,plastic,/design matrita watercooled -sim v2/Injected part:1,2772.3010282306873,"(-41.2816804451634, 148.0814242719327, 19.45699424042569, 36.093996602663246, 180.39084731957402, 45.0569943404258)",109,,tessellated 6279 vertices / 7892 triangles
step-004,Main half water:1,water,/design matrita watercooled -sim v2/Main half water:1,82731.86277845559,"(-72.0860008791689, 140.1303484849695, -0.9430056595741502, 54.41384485433781, 187.13034848497003, 17.056994440425907)",86,,tessellated 24368 vertices / 41872 triangles
step-005,Secondary half water:1,water,/design matrita watercooled -sim v2/Secondary half water:1,82888.7744866782,"(-72.0861551456633, 140.1303484849695, 25.05652745042579, 54.413844854337604, 187.13034848497006, 43.056527650425856)",71,,tessellated 16616 vertices / 27634 triangles
